cik,Target,Acquiror,OperatingIncomeLoss.csv,Assets.csv,ProfitLoss.csv,Liabilities.csv,NetIncomeLoss.csv,StockholdersEquity.csv,Revenues.csv,EntityPublicFloat.csv,RevenueFromContractWithCustomerExcludingAssessedTax.csv
11544,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1971333000,#N/A,#N/A
12208,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12400,0,0,23454000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12659,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,451882000,#N/A,#N/A
12927,0,1,2183000000,89997000000,#N/A,#N/A,1631000000,817000000,23286000000,#N/A,#N/A
13239,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A
14195,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,428236000,920452000,#N/A
14272,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14693,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14707,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14846,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25640000,#N/A,#N/A
14930,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15511,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15615,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1341900000,#N/A,#N/A
16040,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,611000000,#N/A,#N/A
16058,0,1,80255000,3897165000,42420000,2201206000,42420000,1695824000,1057530000,2983255314,#N/A
16099,0,0,-6474000,#N/A,#N/A,#N/A,#N/A,#N/A,114409000,#N/A,#N/A
16732,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11934667846,#N/A
16875,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16918,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17313,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17797,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17843,0,0,15400000,2777400000,7000000,1647100000,#N/A,1130300000,427400000,1689766058,#N/A
18172,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18230,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9574000000,#N/A,#N/A
18255,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,220447000,914302626,#N/A
18349,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18396,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,183890000,#N/A,#N/A
18498,0,0,#N/A,1440999000,#N/A,518478000,46548000,921053000,#N/A,#N/A,#N/A
18672,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18926,0,1,405000000,47017000000,#N/A,#N/A,42000000,#N/A,4289000000,#N/A,#N/A
19411,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1263385000,#N/A,#N/A
19446,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2767926147,#N/A
19584,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19617,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19745,0,0,21819000,#N/A,#N/A,#N/A,#N/A,#N/A,141874000,#N/A,#N/A
20171,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20212,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20286,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1312000000,#N/A,#N/A
20290,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20520,0,0,255000000,#N/A,#N/A,#N/A,#N/A,#N/A,2409000000,#N/A,#N/A
20740,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21175,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2390000000,844000000,#N/A
21344,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21510,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21535,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22252,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22444,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22606,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23082,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1917000000,#N/A,#N/A
23111,0,0,1713000,126915000,#N/A,48096000,1143000,78819000,#N/A,#N/A,#N/A
23194,0,0,-5805000,889874000,#N/A,1161143000,-54933000,-271269000,#N/A,#N/A,#N/A
23197,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,139028000,247917000,#N/A
23217,0,1,342900000,11425000000,125900000,6898200000,122100000,4446700000,#N/A,16411859981,#N/A
23632,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23666,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23675,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24104,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24491,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24545,0,1,#N/A,29341500000,#N/A,17719800000,1439300000,11418700000,#N/A,#N/A,#N/A
24741,0,1,#N/A,27899000000,#N/A,9939000000,1572000000,17893000000,#N/A,#N/A,#N/A
25232,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25445,0,1,-91600000,3428000000,#N/A,2282300000,-63900000,1133800000,#N/A,#N/A,#N/A
25475,0,0,#N/A,735859000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25743,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25895,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26058,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26076,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26172,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
