,source,target,weight
4325,1399,1074,1.72
4326,1400,1013,3.12
4327,1400,1839,2.96
4328,1400,2153,1.16
4329,1400,2529,1.72
4330,1400,2627,3.12
4331,1400,4210,2.4
4332,1401,1483,2.8
4333,1402,22,1.56
4334,1402,27,3.12
4335,1402,154,2.72
4336,1402,336,3.12
4337,1402,683,2.12
4338,1402,1047,2
4339,1402,1052,2.96
4340,1402,1966,2.72
4341,1402,2283,1.72
4342,1402,2940,2.96
4343,1402,3671,2.8
4344,1402,3789,2.96
4345,1403,1051,2.2192
4346,1403,3373,2.72
4347,1405,115,1.72
4348,1405,309,3.12
4349,1406,187,1.72
4350,1406,190,1.72
4351,1406,352,0.32
4352,1406,542,2.8
4353,1406,3175,1.96
4354,1410,2453,2.12
4355,1411,1005,3.12
4356,1411,1513,2.96
4357,1412,939,0.32
4358,1413,1204,2.12
4359,1413,1744,3.12
4360,1413,2069,2.96
4361,1413,3795,2.12
4362,1413,4296,2.56
4363,1414,67,1.72
4364,1414,706,1.16
4365,1414,1065,0.32
4366,1414,1597,1.72
4367,1414,2304,1.16
4368,1414,3486,28.92546551
4369,1414,3808,1.72
4370,1415,467,1.56
4371,1415,2552,2.56
4372,1415,2593,1.8
4373,1415,3012,2
4374,1415,3277,2.56
4375,1415,3501,1.56
4376,1415,3910,2.56
4377,1416,352,1.72
4378,1416,399,2.12
4379,1416,532,2.12
4380,1416,533,3.12
4381,1416,554,2.12
4382,1416,820,3.12
4383,1416,1321,4.8672
4384,1416,2438,3.12
4385,1417,2059,3.12
4386,1418,1047,0.96
4387,1419,2592,3.12
4388,1420,295,3.12
4389,1420,638,3.12
4390,1420,1057,3.12
4391,1420,1595,2.6832
4392,1420,1599,0.96
4393,1420,1621,3.12
4394,1420,1830,2.12
4395,1421,1600,2.56
4396,1421,3807,2.8
4397,1422,2127,0.32
4398,1422,3148,0.0512
4399,1422,3560,0.0512
4400,1422,4204,0.32
4401,1423,509,0.32
4402,1423,1368,1.72
4403,1423,1543,1.72
4404,1423,3862,0.32
4405,1423,4103,1.56
4406,1424,623,3.12
4407,1424,1562,3.12
4408,1425,2678,2.12
4409,1426,205,3.12
4410,1426,342,3.12
4411,1426,742,2.96
4412,1426,1161,3.12
4413,1426,1966,2.12
4414,1426,4236,2.56
4415,1426,4293,2.56
4416,1429,3174,3.12
4417,1429,3803,3.12
4418,1430,2557,3.12
4419,1431,393,1.96
4420,1433,3741,2.8
4421,1435,2781,0.32
4422,1438,910,2.96
4423,1440,32,2.16
4424,1440,453,2.16
4425,1440,479,2.16
4426,1440,593,2.72
4427,1440,1240,2.72
4428,1440,1304,2.72
4429,1440,1493,2.72
4430,1440,1499,1.72
4431,1440,1502,2.16
4432,1440,1630,1.72
4433,1440,1737,1.32
4434,1440,1986,2.16
4435,1440,2195,2.32
4436,1440,2676,2.72
4437,1440,3028,1.56
4438,1440,3166,2.72
4439,1440,3667,2.16
4440,1440,3912,2.72
4441,1440,4222,2.16
4442,1440,4223,2.16
4443,1440,4289,2.16
4444,1441,255,2.96
4445,1441,299,2.56
4446,1441,1464,2.8
4447,1441,1855,1.56
4448,1441,1891,1.16
4449,1441,2549,2.96
4450,1441,2622,0.56
4451,1441,3277,1.96
4452,1441,3546,2.56
4453,1441,3907,1.8
4454,1441,3910,1.96
